# population=byteclasses cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:11:45
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
bc029	2	12	74	64	n1speed	2	36	0	36	0	0.0	PASS	0	0.005625	ALL:2
bc029	2	12	74	256	speed	2	36	0	36	0	0.0	PASS	0	0.005693	ALL:2
bc029	2	12	74	1e+09	maxspeed	2	36	0	36	0	0.0	PASS	0	0.005721	ALL:2
bc030	2	33	128	0	size	1	28	0	28	0	4.0	PASS	0	0.005910	RANGES:1
bc030	2	33	128	4	n1size	2	28	0	28	0	0.0	PASS	0	0.005767	ALL:2
bc030	2	33	128	16	mid	2	28	0	28	0	0.0	PASS	0	0.006242	ALL:2
bc030	2	33	128	64	n1speed	2	28	0	28	0	0.0	PASS	0	0.005820	ALL:2
bc030	2	33	128	256	speed	2	28	0	28	0	0.0	PASS	0	0.005596	ALL:2
bc030	2	33	128	1e+09	maxspeed	2	28	0	28	0	0.0	PASS	0	0.005787	ALL:2
bc031	4	32	94	0	size	2	56	0	56	0	3.0	PASS	0	0.004015	ALL:1,MASK64:1
bc031	4	32	94	4	n1size	2	56	0	56	0	3.0	PASS	0	0.005547	ALL:1,MASK64:1
bc031	4	32	94	16	mid	2	56	0	56	0	3.0	PASS	0	0.004006	ALL:1,MASK64:1
bc031	4	32	94	64	n1speed	4	68	0	68	0	0.0	PASS	0	0.005573	ALL:4
bc031	4	32	94	256	speed	4	68	0	68	0	0.0	PASS	0	0.005672	ALL:4
bc031	4	32	94	1e+09	maxspeed	4	68	0	68	0	0.0	PASS	0	0.005546	ALL:4
bc032	2	2	5	0	size	1	28	0	28	0	3.0	PASS	0	0.005556	MASK64:1
bc032	2	2	5	4	n1size	1	32	0	32	0	2.0	PASS	0	0.003429	CUBES:1
bc032	2	2	5	16	mid	1	32	0	32	0	2.0	PASS	0	0.005813	CUBES:1
bc032	2	2	5	64	n1speed	2	32	0	32	0	0.0	PASS	0	0.005662	ALL:2
bc032	2	2	5	256	speed	2	32	0	32	0	0.0	PASS	0	0.006051	ALL:2
bc032	2	2	5	1e+09	maxspeed	2	32	0	32	0	0.0	PASS	0	0.005654	ALL:2
bc033	2	2	33	0	size	1	28	0	28	0	3.0	PASS	0	0.006095	MASK64:1
bc033	2	2	33	4	n1size	1	32	0	32	0	2.0	PASS	0	0.005664	CUBES:1
bc033	2	2	33	16	mid	1	32	0	32	0	2.0	PASS	0	0.006183	CUBES:1
bc033	2	2	33	64	n1speed	2	36	0	36	0	0.0	PASS	0	0.005579	ALL:2
bc033	2	2	33	256	speed	2	36	0	36	0	0.0	PASS	0	0.006076	ALL:2
