# population=uprops cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:05:22
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
KNDA	13	91	116	0	size	2	148	0	148	0	26.0	PASS	0	0.006372	RANGES:2
KNDA	13	91	116	16	mid	1	52	15	67	15	6.0	PASS	0	0.005702	BITMAP:1
KNDA	13	91	116	256	speed	1	52	15	67	15	6.0	PASS	0	0.006623	BITMAP:1
SINH	13	111	66676	0	size	2	184	0	184	0	26.0	PASS	0	0.005482	RANGES:2
SINH	13	111	66676	16	mid	2	84	15	99	15	6.0	PASS	0	0.005710	ALL:1,BITMAP:1
SINH	13	111	66676	256	speed	2	84	15	99	15	6.0	PASS	0	0.005576	ALL:1,BITMAP:1
TELU	13	100	128	0	size	2	144	0	144	0	26.0	PASS	0	0.005818	RANGES:2
TELU	13	100	128	16	mid	1	52	16	68	16	6.0	PASS	0	0.005576	BITMAP:1
TELU	13	100	128	256	speed	1	52	16	68	16	6.0	PASS	0	0.005570	BITMAP:1
MLYM	12	127	40674	0	size	2	176	0	176	0	24.0	PASS	0	0.005740	RANGES:2
MLYM	12	127	40674	16	mid	6	156	16	172	16	6.0	PASS	0	0.006130	ALL:5,BITMAP:1
MLYM	12	127	40674	256	speed	2	84	629	713	629	6.0	PASS	0	0.005590	ALL:1,BITMAP:1
NL	12	236	68993	0	size	2	220	0	220	0	24.0	PASS	0	0.005074	RANGES:2
NL	12	236	68993	16	mid	10	288	0	288	0	3.0	PASS	0	0.005529	ALL:9,MASK64:1
NL	12	236	68993	256	speed	12	320	0	320	0	0.0	PASS	0	0.005567	ALL:12
LAO	11	83	95	0	size	2	116	0	116	0	22.0	PASS	0	0.005581	RANGES:2
LAO	11	83	95	16	mid	1	52	12	64	12	6.0	PASS	0	0.005435	BITMAP:1
LAO	11	83	95	256	speed	1	52	12	64	12	6.0	PASS	0	0.005606	BITMAP:1
PI	11	12	11638	0	size	2	156	0	156	0	22.0	PASS	0	0.005629	RANGES:2
PI	11	12	11638	16	mid	3	140	0	140	0	6.0	PASS	0	0.006101	ALL:1,MASK64:2
PI	11	12	11638	256	speed	3	140	0	140	0	6.0	PASS	0	0.005527	ALL:1,MASK64:2
TUTG	11	80	99	0	size	2	148	0	148	0	22.0	PASS	0	0.005701	RANGES:2
TUTG	11	80	99	16	mid	1	56	13	69	13	6.0	PASS	0	0.005390	BITMAP:1
TUTG	11	80	99	256	speed	1	56	13	69	13	6.0	PASS	0	0.005573	BITMAP:1
XPS	11	26	12280	0	size	2	144	0	144	0	22.0	PASS	0	0.005460	RANGES:2
XPS	11	26	12280	16	mid	9	212	0	212	0	3.0	PASS	0	0.006021	ALL:8,MASK64:1
XPS	11	26	12280	256	speed	11	212	0	212	0	0.0	PASS	0	0.005715	ALL:11
COPT	10	173	66117	0	size	2	172	0	172	0	20.0	PASS	0	0.005747	RANGES:2
COPT	10	173	66117	16	mid	8	200	0	200	0	3.0	PASS	0	0.005628	ALL:7,MASK64:1
COPT	10	173	66117	256	speed	10	216	0	216	0	0.0	PASS	0	0.005607	ALL:10
CYRL	10	508	122000	0	size	2	180	0	180	0	20.0	PASS	0	0.005572	RANGES:2
CYRL	10	508	122000	16	mid	10	240	0	240	0	0.0	PASS	0	0.005589	ALL:10
CYRL	10	508	122000	256	speed	10	240	0	240	0	0.0	PASS	0	0.003660	ALL:10
DUPL	10	154	113645	0	size	2	176	0	176	0	20.0	PASS	0	0.005604	RANGES:2
DUPL	10	154	113645	16	mid	5	184	0	184	0	6.0	PASS	0	0.005790	ALL:3,MASK64:2
DUPL	10	154	113645	256	speed	7	196	0	196	0	3.0	PASS	0	0.005732	ALL:6,MASK64:1
GEOR	10	173	7310	0	size	2	172	0	172	0	20.0	PASS	0	0.004850	RANGES:2
GEOR	10	173	7310	16	mid	5	184	0	184	0	6.0	PASS	0	0.006000	ALL:3,MASK64:2
GEOR	10	173	7310	256	speed	7	212	0	212	0	3.0	PASS	0	0.005753	ALL:6,MASK64:1
HEBR	10	136	63561	0	size	2	168	0	168	0	20.0	PASS	0	0.005465	RANGES:2
